w;lgw;A(w);L(w)=20lgA(w);fi;y(w)
0,5;-0,30;2,26;7,082168783;-0,16;-0,08
1;0,00;2,88;9,187849755;-0,2;-0,2
1,5;0,18;4,53;13,12196404;-0,54;-0,81
2;0,30;6,66;16,46948458;-0,68;-1,36
3;0,48;2,16;6,689075023;-0,94;-2,82
4;0,60;1,42;3,045766888;-1,12;-4,48
5;0,70;1,08;0,66847511;-3,14;-15,7
10;1,00;0,38;-8,404328068;-3,14;-31,4
15;1,18;0,25;-12,04119983;-3,14;-47,1
20;1,30;0,17;-15,39102157;-3,14;-62,8
25;1,40;0,14;-17,07743929;-3,14;-78,5
35;1,54;0,09;-20,91514981;-3,14;-109,9
50;1,70;0,06;-24,43697499;-3,14;-157
